Time,Sample#,Type,Sub,Chan,Num,Aux
[22:08:00.000],2280,"""",0,0,0,W
[22:08:30.000],2310,"""",0,0,0,W
[22:09:00.000],2340,"""",0,0,0,W
[22:09:30.000],2370,"""",0,0,0,W
[22:10:00.000],2400,"""",0,0,0,W
[22:10:30.000],2430,"""",0,0,0,W
[22:11:00.000],2460,"""",0,0,0,W
[22:11:30.000],2490,"""",0,0,0,W
[22:12:00.000],2520,"""",0,0,0,W
[22:12:30.000],2550,"""",0,0,0,W
[22:13:00.000],2580,"""",0,0,0,W
[22:13:30.000],2610,"""",0,0,0,W
[22:14:00.000],2640,"""",0,0,0,W
[22:14:30.000],2670,"""",0,0,0,W
[22:15:00.000],2700,"""",0,0,0,W
[22:15:30.000],2730,"""",0,0,0,W
[22:16:00.000],2760,"""",0,0,0,W
[22:16:30.000],2790,"""",0,0,0,W
[22:17:00.000],2820,"""",0,0,0,W
[22:17:30.000],2850,"""",0,0,0,W
[22:18:00.000],2880,"""",0,0,0,W
[22:18:30.000],2910,"""",0,0,0,W
[22:19:00.000],2940,"""",0,0,0,W
[22:19:30.000],2970,"""",0,0,0,W
[22:20:00.000],3000,"""",0,0,0,W
[22:20:30.000],3030,"""",0,0,0,W
[22:21:00.000],3060,"""",0,0,0,W
[22:21:30.000],3090,"""",0,0,0,W
[22:22:00.000],3120,"""",0,0,0,W
[22:22:30.000],3150,"""",0,0,0,W
[22:23:00.000],3180,"""",0,0,0,W
[22:23:30.000],3210,"""",0,0,0,W
[22:24:00.000],3240,"""",0,0,0,W
[22:24:30.000],3270,"""",0,0,0,W
[22:25:00.000],3300,"""",0,0,0,W
[22:25:30.000],3330,"""",0,0,0,W
[22:26:00.000],3360,"""",0,0,0,W
[22:26:30.000],3390,"""",0,0,0,W
[22:27:00.000],3420,"""",0,0,0,W
[22:27:30.000],3450,"""",0,0,0,W
[22:28:00.000],3480,"""",0,0,0,W
[22:28:30.000],3510,"""",0,0,0,W
[22:29:00.000],3540,"""",0,0,0,W
[22:29:30.000],3570,"""",0,0,0,W
[22:30:00.000],3600,"""",0,0,0,W
[22:30:30.000],3630,"""",0,0,0,W
[22:31:00.000],3660,"""",0,0,0,W
[22:31:30.000],3690,"""",0,0,0,W
[22:32:00.000],3720,"""",0,0,0,W
[22:32:30.000],3750,"""",0,0,0,W
[22:33:00.000],3780,"""",0,0,0,W
[22:33:30.000],3810,"""",0,0,0,W
[22:34:00.000],3840,"""",0,0,0,W
[22:34:30.000],3870,"""",0,0,0,W
[22:35:00.000],3900,"""",0,0,0,W
[22:35:30.000],3930,"""",0,0,0,W
[22:36:00.000],3960,"""",0,0,0,W
[22:36:30.000],3990,"""",0,0,0,W
[22:37:00.000],4020,"""",0,0,0,W
[22:37:30.000],4050,"""",0,0,0,W
[22:38:00.000],4080,"""",0,0,0,1
[22:38:30.000],4110,"""",0,0,0,1
[22:39:00.000],4140,"""",0,0,0,2
[22:39:30.000],4170,"""",0,0,0,2
[22:40:00.000],4200,"""",0,0,0,2
[22:40:30.000],4230,"""",0,0,0,2
[22:41:00.000],4260,"""",0,0,0,2
[22:41:30.000],4290,"""",0,0,0,2
[22:42:00.000],4320,"""",0,0,0,3
[22:42:30.000],4350,"""",0,0,0,2
[22:43:00.000],4380,"""",0,0,0,2
[22:43:30.000],4410,"""",0,0,0,2
[22:44:00.000],4440,"""",0,0,0,2
[22:44:30.000],4470,"""",0,0,0,2
[22:45:00.000],4500,"""",0,0,0,2
[22:45:30.000],4530,"""",0,0,0,2
[22:46:00.000],4560,"""",0,0,0,2
[22:46:30.000],4590,"""",0,0,0,2
[22:47:00.000],4620,"""",0,0,0,3
[22:47:30.000],4650,"""",0,0,0,2
[22:48:00.000],4680,"""",0,0,0,3
[22:48:30.000],4710,"""",0,0,0,2
[22:49:00.000],4740,"""",0,0,0,3
[22:49:30.000],4770,"""",0,0,0,3
[22:50:00.000],4800,"""",0,0,0,2
[22:50:30.000],4830,"""",0,0,0,3
[22:51:00.000],4860,"""",0,0,0,3
[22:51:30.000],4890,"""",0,0,0,3
[22:52:00.000],4920,"""",0,0,0,3
[22:52:30.000],4950,"""",0,0,0,3
[22:53:00.000],4980,"""",0,0,0,3
[22:53:30.000],5010,"""",0,0,0,3
[22:54:00.000],5040,"""",0,0,0,3
[22:54:30.000],5070,"""",0,0,0,3
[22:55:00.000],5100,"""",0,0,0,3
[22:55:30.000],5130,"""",0,0,0,3
[22:56:00.000],5160,"""",0,0,0,3
[22:56:30.000],5190,"""",0,0,0,3
[22:57:00.000],5220,"""",0,0,0,3
[22:57:30.000],5250,"""",0,0,0,3
[22:58:00.000],5280,"""",0,0,0,3
[22:58:30.000],5310,"""",0,0,0,3
[22:59:00.000],5340,"""",0,0,0,3
[22:59:30.000],5370,"""",0,0,0,3
[23:00:00.000],5400,"""",0,0,0,3
[23:00:30.000],5430,"""",0,0,0,3
[23:01:00.000],5460,"""",0,0,0,3
[23:01:30.000],5490,"""",0,0,0,3
[23:02:00.000],5520,"""",0,0,0,3
[23:02:30.000],5550,"""",0,0,0,3
[23:03:00.000],5580,"""",0,0,0,3
[23:03:30.000],5610,"""",0,0,0,3
[23:04:00.000],5640,"""",0,0,0,3
[23:04:30.000],5670,"""",0,0,0,3
[23:05:00.000],5700,"""",0,0,0,3
[23:05:30.000],5730,"""",0,0,0,3
[23:06:00.000],5760,"""",0,0,0,3
[23:06:30.000],5790,"""",0,0,0,3
[23:07:00.000],5820,"""",0,0,0,3
[23:07:30.000],5850,"""",0,0,0,3
[23:08:00.000],5880,"""",0,0,0,3
[23:08:30.000],5910,"""",0,0,0,3
[23:09:00.000],5940,"""",0,0,0,3
[23:09:30.000],5970,"""",0,0,0,3
[23:10:00.000],6000,"""",0,0,0,3
[23:10:30.000],6030,"""",0,0,0,3
[23:11:00.000],6060,"""",0,0,0,3
[23:11:30.000],6090,"""",0,0,0,3
[23:12:00.000],6120,"""",0,0,0,3
[23:12:30.000],6150,"""",0,0,0,3
[23:13:00.000],6180,"""",0,0,0,3
[23:13:30.000],6210,"""",0,0,0,3
[23:14:00.000],6240,"""",0,0,0,3
[23:14:30.000],6270,"""",0,0,0,3
[23:15:00.000],6300,"""",0,0,0,3
[23:15:30.000],6330,"""",0,0,0,3
[23:16:00.000],6360,"""",0,0,0,3
[23:16:30.000],6390,"""",0,0,0,3
[23:17:00.000],6420,"""",0,0,0,3
[23:17:30.000],6450,"""",0,0,0,3
[23:18:00.000],6480,"""",0,0,0,3
[23:18:30.000],6510,"""",0,0,0,3
[23:19:00.000],6540,"""",0,0,0,3
[23:19:30.000],6570,"""",0,0,0,3
[23:20:00.000],6600,"""",0,0,0,3
[23:20:30.000],6630,"""",0,0,0,3
[23:21:00.000],6660,"""",0,0,0,3
[23:21:30.000],6690,"""",0,0,0,3
[23:22:00.000],6720,"""",0,0,0,3
[23:22:30.000],6750,"""",0,0,0,3
[23:23:00.000],6780,"""",0,0,0,3
[23:23:30.000],6810,"""",0,0,0,2
[23:24:00.000],6840,"""",0,0,0,2
[23:24:30.000],6870,"""",0,0,0,2
[23:25:00.000],6900,"""",0,0,0,2
[23:25:30.000],6930,"""",0,0,0,2
[23:26:00.000],6960,"""",0,0,0,2
[23:26:30.000],6990,"""",0,0,0,2
[23:27:00.000],7020,"""",0,0,0,2
[23:27:30.000],7050,"""",0,0,0,2
[23:28:00.000],7080,"""",0,0,0,2
[23:28:30.000],7110,"""",0,0,0,2
[23:29:00.000],7140,"""",0,0,0,2
[23:29:30.000],7170,"""",0,0,0,2
[23:30:00.000],7200,"""",0,0,0,2
[23:30:30.000],7230,"""",0,0,0,2
[23:31:00.000],7260,"""",0,0,0,2
[23:31:30.000],7290,"""",0,0,0,2
[23:32:00.000],7320,"""",0,0,0,2
[23:32:30.000],7350,"""",0,0,0,2
[23:33:00.000],7380,"""",0,0,0,2
[23:33:30.000],7410,"""",0,0,0,2
[23:34:00.000],7440,"""",0,0,0,2
[23:34:30.000],7470,"""",0,0,0,2
[23:35:00.000],7500,"""",0,0,0,2
[23:35:30.000],7530,"""",0,0,0,2
[23:36:00.000],7560,"""",0,0,0,2
[23:36:30.000],7590,"""",0,0,0,2
[23:37:00.000],7620,"""",0,0,0,2
[23:37:30.000],7650,"""",0,0,0,2
[23:38:00.000],7680,"""",0,0,0,2
[23:38:30.000],7710,"""",0,0,0,2
[23:39:00.000],7740,"""",0,0,0,2
[23:39:30.000],7770,"""",0,0,0,2
[23:40:00.000],7800,"""",0,0,0,2
[23:40:30.000],7830,"""",0,0,0,2
[23:41:00.000],7860,"""",0,0,0,2
[23:41:30.000],7890,"""",0,0,0,2
[23:42:00.000],7920,"""",0,0,0,2
[23:42:30.000],7950,"""",0,0,0,2
[23:43:00.000],7980,"""",0,0,0,2
[23:43:30.000],8010,"""",0,0,0,2
[23:44:00.000],8040,"""",0,0,0,2
[23:44:30.000],8070,"""",0,0,0,2
[23:45:00.000],8100,"""",0,0,0,2
[23:45:30.000],8130,"""",0,0,0,2
[23:46:00.000],8160,"""",0,0,0,2
[23:46:30.000],8190,"""",0,0,0,2
[23:47:00.000],8220,"""",0,0,0,2
[23:47:30.000],8250,"""",0,0,0,2
[23:48:00.000],8280,"""",0,0,0,2
[23:48:30.000],8310,"""",0,0,0,2
[23:49:00.000],8340,"""",0,0,0,2
[23:49:30.000],8370,"""",0,0,0,2
[23:50:00.000],8400,"""",0,0,0,3
[23:50:30.000],8430,"""",0,0,0,2
[23:51:00.000],8460,"""",0,0,0,3
[23:51:30.000],8490,"""",0,0,0,2
[23:52:00.000],8520,"""",0,0,0,2
[23:52:30.000],8550,"""",0,0,0,2
[23:53:00.000],8580,"""",0,0,0,3
[23:53:30.000],8610,"""",0,0,0,2
[23:54:00.000],8640,"""",0,0,0,3
[23:54:30.000],8670,"""",0,0,0,2
[23:55:00.000],8700,"""",0,0,0,2
[23:55:30.000],8730,"""",0,0,0,2
[23:56:00.000],8760,"""",0,0,0,3
[23:56:30.000],8790,"""",0,0,0,2
[23:57:00.000],8820,"""",0,0,0,3
[23:57:30.000],8850,"""",0,0,0,3
[23:58:00.000],8880,"""",0,0,0,3
[23:58:30.000],8910,"""",0,0,0,3
[23:59:00.000],8940,"""",0,0,0,3
[23:59:30.000],8970,"""",0,0,0,3
[00:00:00.000,9000,"""",0,0,0,3
[00:00:30.000,9030,"""",0,0,0,3
[00:01:00.000,9060,"""",0,0,0,3
[00:01:30.000,9090,"""",0,0,0,3
[00:02:00.000,9120,"""",0,0,0,3
[00:02:30.000,9150,"""",0,0,0,3
[00:03:00.000,9180,"""",0,0,0,3
[00:03:30.000,9210,"""",0,0,0,2
[00:04:00.000,9240,"""",0,0,0,3
[00:04:30.000,9270,"""",0,0,0,3
[00:05:00.000,9300,"""",0,0,0,3
[00:05:30.000,9330,"""",0,0,0,3
[00:06:00.000,9360,"""",0,0,0,3
[00:06:30.000,9390,"""",0,0,0,3
[00:07:00.000,9420,"""",0,0,0,3
[00:07:30.000,9450,"""",0,0,0,3
[00:08:00.000,9480,"""",0,0,0,3
[00:08:30.000,9510,"""",0,0,0,3
[00:09:00.000,9540,"""",0,0,0,3
[00:09:30.000,9570,"""",0,0,0,3
[00:10:00.000,9600,"""",0,0,0,3
[00:10:30.000,9630,"""",0,0,0,3
[00:11:00.000,9660,"""",0,0,0,3
[00:11:30.000,9690,"""",0,0,0,3
[00:12:00.000,9720,"""",0,0,0,3
[00:12:30.000,9750,"""",0,0,0,3
[00:13:00.000,9780,"""",0,0,0,3
[00:13:30.000,9810,"""",0,0,0,3
[00:14:00.000,9840,"""",0,0,0,3
[00:14:30.000,9870,"""",0,0,0,3
[00:15:00.000,9900,"""",0,0,0,3
[00:15:30.000,9930,"""",0,0,0,3
[00:16:00.000,9960,"""",0,0,0,2
[00:16:30.000,9990,"""",0,0,0,2
[00:17:00.000,10020,"""",0,0,0,2
[00:17:30.000,10050,"""",0,0,0,2
[00:18:00.000,10080,"""",0,0,0,3
[00:18:30.000,10110,"""",0,0,0,3
[00:19:00.000,10140,"""",0,0,0,2
[00:19:30.000,10170,"""",0,0,0,2
[00:20:00.000,10200,"""",0,0,0,3
[00:20:30.000,10230,"""",0,0,0,3
[00:21:00.000,10260,"""",0,0,0,3
[00:21:30.000,10290,"""",0,0,0,3
[00:22:00.000,10320,"""",0,0,0,3
[00:22:30.000,10350,"""",0,0,0,3
[00:23:00.000,10380,"""",0,0,0,3
[00:23:30.000,10410,"""",0,0,0,3
[00:24:00.000,10440,"""",0,0,0,3
[00:24:30.000,10470,"""",0,0,0,3
[00:25:00.000,10500,"""",0,0,0,3
[00:25:30.000,10530,"""",0,0,0,3
[00:26:00.000,10560,"""",0,0,0,3
[00:26:30.000,10590,"""",0,0,0,3
[00:27:00.000,10620,"""",0,0,0,3
[00:27:30.000,10650,"""",0,0,0,3
[00:28:00.000,10680,"""",0,0,0,3
[00:28:30.000,10710,"""",0,0,0,3
[00:29:00.000,10740,"""",0,0,0,3
[00:29:30.000,10770,"""",0,0,0,3
[00:30:00.000,10800,"""",0,0,0,3
[00:30:30.000,10830,"""",0,0,0,3
[00:31:00.000,10860,"""",0,0,0,3
[00:31:30.000,10890,"""",0,0,0,3
[00:32:00.000,10920,"""",0,0,0,3
[00:32:30.000,10950,"""",0,0,0,3
[00:33:00.000,10980,"""",0,0,0,3
[00:33:30.000,11010,"""",0,0,0,3
[00:34:00.000,11040,"""",0,0,0,3
[00:34:30.000,11070,"""",0,0,0,3
[00:35:00.000,11100,"""",0,0,0,3
[00:35:30.000,11130,"""",0,0,0,3
[00:36:00.000,11160,"""",0,0,0,3
[00:36:30.000,11190,"""",0,0,0,3
[00:37:00.000,11220,"""",0,0,0,3
[00:37:30.000,11250,"""",0,0,0,3
[00:38:00.000,11280,"""",0,0,0,3
[00:38:30.000,11310,"""",0,0,0,3
[00:39:00.000,11340,"""",0,0,0,3
[00:39:30.000,11370,"""",0,0,0,3
[00:40:00.000,11400,"""",0,0,0,3
[00:40:30.000,11430,"""",0,0,0,3
[00:41:00.000,11460,"""",0,0,0,3
[00:41:30.000,11490,"""",0,0,0,3
[00:42:00.000,11520,"""",0,0,0,3
[00:42:30.000,11550,"""",0,0,0,3
[00:43:00.000,11580,"""",0,0,0,3
[00:43:30.000,11610,"""",0,0,0,3
[00:44:00.000,11640,"""",0,0,0,3
[00:44:30.000,11670,"""",0,0,0,3
[00:45:00.000,11700,"""",0,0,0,3
[00:45:30.000,11730,"""",0,0,0,3
[00:46:00.000,11760,"""",0,0,0,3
[00:46:30.000,11790,"""",0,0,0,3
[00:47:00.000,11820,"""",0,0,0,3
[00:47:30.000,11850,"""",0,0,0,3
[00:48:00.000,11880,"""",0,0,0,3
[00:48:30.000,11910,"""",0,0,0,3
[00:49:00.000,11940,"""",0,0,0,3
[00:49:30.000,11970,"""",0,0,0,3
[00:50:00.000,12000,"""",0,0,0,3
[00:50:30.000,12030,"""",0,0,0,3
[00:51:00.000,12060,"""",0,0,0,3
[00:51:30.000,12090,"""",0,0,0,3
[00:52:00.000,12120,"""",0,0,0,3
[00:52:30.000,12150,"""",0,0,0,3
[00:53:00.000,12180,"""",0,0,0,3
[00:53:30.000,12210,"""",0,0,0,3
[00:54:00.000,12240,"""",0,0,0,3
[00:54:30.000,12270,"""",0,0,0,3
[00:55:00.000,12300,"""",0,0,0,W
[00:55:30.000,12330,"""",0,0,0,2
[00:56:00.000,12360,"""",0,0,0,2
[00:56:30.000,12390,"""",0,0,0,2
[00:57:00.000,12420,"""",0,0,0,2
[00:57:30.000,12450,"""",0,0,0,2
[00:58:00.000,12480,"""",0,0,0,2
[00:58:30.000,12510,"""",0,0,0,2
[00:59:00.000,12540,"""",0,0,0,2
[00:59:30.000,12570,"""",0,0,0,2
[01:00:00.000,12600,"""",0,0,0,2
[01:00:30.000,12630,"""",0,0,0,2
[01:01:00.000,12660,"""",0,0,0,2
[01:01:30.000,12690,"""",0,0,0,R
[01:02:00.000,12720,"""",0,0,0,R
[01:02:30.000,12750,"""",0,0,0,R
[01:03:00.000,12780,"""",0,0,0,R
[01:03:30.000,12810,"""",0,0,0,R
[01:04:00.000,12840,"""",0,0,0,R
[01:04:30.000,12870,"""",0,0,0,R
[01:05:00.000,12900,"""",0,0,0,1
[01:05:30.000,12930,"""",0,0,0,R
[01:06:00.000,12960,"""",0,0,0,R
[01:06:30.000,12990,"""",0,0,0,R
[01:07:00.000,13020,"""",0,0,0,R
[01:07:30.000,13050,"""",0,0,0,R
[01:08:00.000,13080,"""",0,0,0,R
[01:08:30.000,13110,"""",0,0,0,R
[01:09:00.000,13140,"""",0,0,0,R
[01:09:30.000,13170,"""",0,0,0,R
[01:10:00.000,13200,"""",0,0,0,R
[01:10:30.000,13230,"""",0,0,0,R
[01:11:00.000,13260,"""",0,0,0,R
[01:11:30.000,13290,"""",0,0,0,R
[01:12:00.000,13320,"""",0,0,0,R
[01:12:30.000,13350,"""",0,0,0,R
[01:13:00.000,13380,"""",0,0,0,R
[01:13:30.000,13410,"""",0,0,0,R
[01:14:00.000,13440,"""",0,0,0,1
[01:14:30.000,13470,"""",0,0,0,2
[01:15:00.000,13500,"""",0,0,0,2
[01:15:30.000,13530,"""",0,0,0,2
[01:16:00.000,13560,"""",0,0,0,2
[01:16:30.000,13590,"""",0,0,0,2
[01:17:00.000,13620,"""",0,0,0,2
[01:17:30.000,13650,"""",0,0,0,2
[01:18:00.000,13680,"""",0,0,0,2
[01:18:30.000,13710,"""",0,0,0,2
[01:19:00.000,13740,"""",0,0,0,2
[01:19:30.000,13770,"""",0,0,0,2
[01:20:00.000,13800,"""",0,0,0,2
[01:20:30.000,13830,"""",0,0,0,2
[01:21:00.000,13860,"""",0,0,0,2
[01:21:30.000,13890,"""",0,0,0,2
[01:22:00.000,13920,"""",0,0,0,2
[01:22:30.000,13950,"""",0,0,0,2
[01:23:00.000,13980,"""",0,0,0,2
[01:23:30.000,14010,"""",0,0,0,2
[01:24:00.000,14040,"""",0,0,0,2
[01:24:30.000,14070,"""",0,0,0,2
[01:25:00.000,14100,"""",0,0,0,2
[01:25:30.000,14130,"""",0,0,0,2
[01:26:00.000,14160,"""",0,0,0,3
[01:26:30.000,14190,"""",0,0,0,2
[01:27:00.000,14220,"""",0,0,0,2
[01:27:30.000,14250,"""",0,0,0,2
[01:28:00.000,14280,"""",0,0,0,2
[01:28:30.000,14310,"""",0,0,0,2
[01:29:00.000,14340,"""",0,0,0,3
[01:29:30.000,14370,"""",0,0,0,2
[01:30:00.000,14400,"""",0,0,0,2
[01:30:30.000,14430,"""",0,0,0,2
[01:31:00.000,14460,"""",0,0,0,2
[01:31:30.000,14490,"""",0,0,0,2
[01:32:00.000,14520,"""",0,0,0,2
[01:32:30.000,14550,"""",0,0,0,2
[01:33:00.000,14580,"""",0,0,0,2
[01:33:30.000,14610,"""",0,0,0,W
[01:34:00.000,14640,"""",0,0,0,W
[01:34:30.000,14670,"""",0,0,0,W
[01:35:00.000,14700,"""",0,0,0,W
[01:35:30.000,14730,"""",0,0,0,W
[01:36:00.000,14760,"""",0,0,0,W
[01:36:30.000,14790,"""",0,0,0,W
[01:37:00.000,14820,"""",0,0,0,W
[01:37:30.000,14850,"""",0,0,0,1
[01:38:00.000,14880,"""",0,0,0,2
[01:38:30.000,14910,"""",0,0,0,2
[01:39:00.000,14940,"""",0,0,0,2
[01:39:30.000,14970,"""",0,0,0,2
[01:40:00.000,15000,"""",0,0,0,2
[01:40:30.000,15030,"""",0,0,0,2
[01:41:00.000,15060,"""",0,0,0,2
[01:41:30.000,15090,"""",0,0,0,2
[01:42:00.000,15120,"""",0,0,0,2
[01:42:30.000,15150,"""",0,0,0,2
[01:43:00.000,15180,"""",0,0,0,2
[01:43:30.000,15210,"""",0,0,0,2
[01:44:00.000,15240,"""",0,0,0,2
[01:44:30.000,15270,"""",0,0,0,2
[01:45:00.000,15300,"""",0,0,0,2
[01:45:30.000,15330,"""",0,0,0,2
[01:46:00.000,15360,"""",0,0,0,2
[01:46:30.000,15390,"""",0,0,0,2
[01:47:00.000,15420,"""",0,0,0,2
[01:47:30.000,15450,"""",0,0,0,2
[01:48:00.000,15480,"""",0,0,0,2
[01:48:30.000,15510,"""",0,0,0,2
[01:49:00.000,15540,"""",0,0,0,2
[01:49:30.000,15570,"""",0,0,0,2
[01:50:00.000,15600,"""",0,0,0,2
[01:50:30.000,15630,"""",0,0,0,2
[01:51:00.000,15660,"""",0,0,0,2
[01:51:30.000,15690,"""",0,0,0,2
[01:52:00.000,15720,"""",0,0,0,2
[01:52:30.000,15750,"""",0,0,0,2
[01:53:00.000,15780,"""",0,0,0,2
[01:53:30.000,15810,"""",0,0,0,2
[01:54:00.000,15840,"""",0,0,0,2
[01:54:30.000,15870,"""",0,0,0,2
[01:55:00.000,15900,"""",0,0,0,2
[01:55:30.000,15930,"""",0,0,0,2
[01:56:00.000,15960,"""",0,0,0,2
[01:56:30.000,15990,"""",0,0,0,2
[01:57:00.000,16020,"""",0,0,0,W
[01:57:30.000,16050,"""",0,0,0,2
[01:58:00.000,16080,"""",0,0,0,2
[01:58:30.000,16110,"""",0,0,0,2
[01:59:00.000,16140,"""",0,0,0,2
[01:59:30.000,16170,"""",0,0,0,2
[02:00:00.000,16200,"""",0,0,0,2
[02:00:30.000,16230,"""",0,0,0,2
[02:01:00.000,16260,"""",0,0,0,2
[02:01:30.000,16290,"""",0,0,0,2
[02:02:00.000,16320,"""",0,0,0,2
[02:02:30.000,16350,"""",0,0,0,2
[02:03:00.000,16380,"""",0,0,0,2
[02:03:30.000,16410,"""",0,0,0,2
[02:04:00.000,16440,"""",0,0,0,2
[02:04:30.000,16470,"""",0,0,0,3
[02:05:00.000,16500,"""",0,0,0,2
[02:05:30.000,16530,"""",0,0,0,2
[02:06:00.000,16560,"""",0,0,0,2
[02:06:30.000,16590,"""",0,0,0,2
[02:07:00.000,16620,"""",0,0,0,2
[02:07:30.000,16650,"""",0,0,0,3
[02:08:00.000,16680,"""",0,0,0,2
[02:08:30.000,16710,"""",0,0,0,3
[02:09:00.000,16740,"""",0,0,0,3
[02:09:30.000,16770,"""",0,0,0,3
[02:10:00.000,16800,"""",0,0,0,3
[02:10:30.000,16830,"""",0,0,0,2
[02:11:00.000,16860,"""",0,0,0,3
[02:11:30.000,16890,"""",0,0,0,3
[02:12:00.000,16920,"""",0,0,0,3
[02:12:30.000,16950,"""",0,0,0,3
[02:13:00.000,16980,"""",0,0,0,3
[02:13:30.000,17010,"""",0,0,0,3
[02:14:00.000,17040,"""",0,0,0,3
[02:14:30.000,17070,"""",0,0,0,3
[02:15:00.000,17100,"""",0,0,0,3
[02:15:30.000,17130,"""",0,0,0,2
[02:16:00.000,17160,"""",0,0,0,3
[02:16:30.000,17190,"""",0,0,0,3
[02:17:00.000,17220,"""",0,0,0,3
[02:17:30.000,17250,"""",0,0,0,3
[02:18:00.000,17280,"""",0,0,0,3
[02:18:30.000,17310,"""",0,0,0,3
[02:19:00.000,17340,"""",0,0,0,3
[02:19:30.000,17370,"""",0,0,0,3
[02:20:00.000,17400,"""",0,0,0,3
[02:20:30.000,17430,"""",0,0,0,3
[02:21:00.000,17460,"""",0,0,0,3
[02:21:30.000,17490,"""",0,0,0,3
[02:22:00.000,17520,"""",0,0,0,3
[02:22:30.000,17550,"""",0,0,0,3
[02:23:00.000,17580,"""",0,0,0,3
[02:23:30.000,17610,"""",0,0,0,3
[02:24:00.000,17640,"""",0,0,0,3
[02:24:30.000,17670,"""",0,0,0,3
[02:25:00.000,17700,"""",0,0,0,3
[02:25:30.000,17730,"""",0,0,0,3
[02:26:00.000,17760,"""",0,0,0,3
[02:26:30.000,17790,"""",0,0,0,3
[02:27:00.000,17820,"""",0,0,0,3
[02:27:30.000,17850,"""",0,0,0,3
[02:28:00.000,17880,"""",0,0,0,3
[02:28:30.000,17910,"""",0,0,0,3
[02:29:00.000,17940,"""",0,0,0,3
[02:29:30.000,17970,"""",0,0,0,3
[02:30:00.000,18000,"""",0,0,0,3
[02:30:30.000,18030,"""",0,0,0,R
[02:31:00.000,18060,"""",0,0,0,R
[02:31:30.000,18090,"""",0,0,0,R
[02:32:00.000,18120,"""",0,0,0,R
[02:32:30.000,18150,"""",0,0,0,R
[02:33:00.000,18180,"""",0,0,0,R
[02:33:30.000,18210,"""",0,0,0,R
